brand,model,display,colors,os,cpu,sensors,speaker,jack,gps,weight,mem,ram,camera,battery,price,vol,size,ppi,release
Acer,Iconia One 8 B1-820,LCD,Various,Android,Quad-core 1.33 GHz,Accelerometer,Yes,Yes,Yes,355,16,1,5,4550,180,259.5,8,189,2015
Acer,Liquid Jade Z,LCD,Black| White,Android,Quad-core 1.5 GHz Cortex-A53,Accelerometer| gyro| proximity| compass,Yes,Yes,Yes,110,8,1,13,2300,200,80.1,5,294,2015
Acer,Liquid Z520,TFT,Black| White,Android,Quad-core 1.3 GHz Cortex-A7,Accelerometer| proximity,Yes,Yes,Yes,118,8,1,8,2000,130,84.8,5,187,2015
Acer,Liquid Z220,NA,Black| White,Android,Dual-core 1.2 GHz Cortex-A7,Accelerometer,Yes,Yes,Yes,120,8,1,5,1300,90,77,4,233,2015
Acer,Liquid M220,TFT,Mystic Black| Pure White,Windows,Dual-core 1.2 GHz Cortex-A7,Accelerometer| proximity,Yes,Yes,Yes,119,4,0.512,5,1300,80,76.7,4,233,2015
Acer,Liquid Z410,LCD,Black,Android,Quad-core 1.3 GHz Cortex-A53,Accelerometer| proximity,Yes,Yes,Yes,145,8,1,5,2000,130,89.8,4.5,245,2015
Acer,Liquid Jade S,LCD,Black| White| Red| Pink,Android,Octa-core 1.5 GHz Cortex-A53,Accelerometer| proximity| compass,Yes,Yes,Yes,116,16,2,13,2300,200,77,5,294,2014
Acer,Liquid Z500,LCD,Aquamarine Green| Sandy Silver| Titanium Black,Android,Quad-core 1.3 GHz Cortex-A7,Accelerometer| proximity,Yes,Yes,Yes,150,4,1,8,2000,150,93.1,5,294,2014
Acer,Liquid X1,LCD,Graphite black| Wine red,Android,Octa-core 1.7 GHz Cortex-A7,Accelerometer| proximity| compass,Yes,Yes,Yes,164,16,2,13,2700,260,104.8,5.7,258,2014
Acer,Liquid Jade,LCD,Black| White| Green| Pink| Gray,Android,Quad-core 1.3 GHz Cortex-A7,Accelerometer| proximity| compass,Yes,Yes,Yes,110,8,1,13,2100,180,72.7,5,294,2014
Acer,Liquid E700,LCD,Titan Black| Burgundy Red,Android,Quad-core 1.2 GHz Cortex-A7,Accelerometer| proximity,Yes,Yes,Yes,155,16,2,8,3500,200,106.5,5,294,2014
Acer,Liquid E600,LCD,Black| Green| Dark red,Android,Quad-core 1.2 GHz Cortex-A7,Accelerometer| proximity,Yes,Yes,Yes,155,4,1,8,2500,200,100.5,5,196,2014
Acer,Liquid Z200,TFT,Titanium Black| Essential White| Fragrant Pink| Sky Blue| Sunshine Yellow,Android,Dual-core 1.0 GHz Cortex-A7,Accelerometer,Yes,Yes,Yes,130,4,0.512,2,1300,90,84.4,4,233,2014
Acer,Iconia Tab 8 A1-840FHD,LCD,Silver,Android,Quad-core 1.86 GHz,Accelerometer,Yes,Yes,Yes,360,16,2,5,4600,200,237.6,8,283,2014
Acer,Iconia Tab 7 A1-713,TFT,Black,Android,Quad-core,Accelerometer,Yes,Yes,Yes,298,16,1,2,NA,110,NA,7,170,2014
Acer,Iconia Tab 7 A1-713HD,LCD,Black,Android,Quad-core,Accelerometer,Yes,Yes,Yes,298,16,1,5,NA,150,NA,7,216,2014
Acer,Iconia One 7 B1-730,LCD,Red| white| black| blue| pink,Android,Dual-core 1.6 GHz,Accelerometer,Yes,Yes,No,NA,8,1,5,3700,90,NA,7,216,2014
Acer,Liquid E3 Duo Plus,LCD,Black,Android,Quad-core 1.2 GHz Cortex-A7,Accelerometer| proximity,Yes,Yes,Yes,NA,16,2,13,NA,240,84.7,4.7,312,2014
Acer,Liquid E3,LCD,Black/White,Android,Quad-core 1.2 GHz Cortex-A7,Accelerometer| proximity,Yes,Yes,Yes,134,4,1,13,NA,200,83.2,4.7,312,2014
Acer,Liquid Z4,TFT,Black/White,Android,Dual-core 1.3 GHz Cortex-A7,Accelerometer| proximity,Yes,Yes,No,122,4,0.512,5,1630,100,77,4,233,2014
Acer,Iconia B1-721,TFT,Black/Red,Android,Dual-core 1.3 GHz Cortex-A7,Accelerometer,Yes,Yes,Yes,323,16,1,NA,2955,130,277.4,7,170,2014
Acer,Iconia B1-720,TFT,Various,Android,Dual-core 1.3 GHz,Accelerometer,Yes,Yes,Yes,315,8,1,NA,2955,100,246.3,7,170,2014
Acer,Iconia A1-830,LCD,White,Android,Dual-core 1.6 GHz,Accelerometer,Yes,Yes,Yes,380,16,1,5,4000,130,230.4,7.9,162,2014
Acer,Liquid Z5,TFT,Essential White| Gentle Grey,Android,Dual-core 1.3 GHz Cortex-A7,Accelerometer| proximity,Yes,Yes,Yes,150,4,0.512,5,2000,170,94.1,5,196,2014
Acer,Liquid S2,LCD,Black| Red,Android,Quad-core 2.2 GHz Krait 400,Accelerometer| gyro| proximity| compass,Yes,Yes,Yes,229,16,2,13,3300,340,128.8,6,368,2013
Acer,Liquid Z3,TFT,Rock Black| Classic White,Android,Dual-core 1.0 GHz Cortex-A7,Accelerometer| proximity,Yes,Yes,Yes,120,4,0.512,3.15,1500,100,68,3.5,165,2013
Acer,Liquid S1,TFT,White| Black,Android,Quad-core 1.5 GHz Cortex-A7,Accelerometer| gyro| proximity| compass,Yes,Yes,Yes,195,8,1,8,2400,320,129.9,5.7,258,2013
Acer,Iconia Tab A1-811,TFT,White,Android,Quad-core 1.2 GHz Cortex-A7,Accelerometer| gyro,Yes,Yes,Yes,430,8,1,5,4960,150,337.5,7.9,162,2013
Acer,Iconia Tab A1-810,LCD,Black,Android,Quad-core 1.2 GHz,Accelerometer| gyro,Yes,Yes,Yes,410,8,1,5,4960,120,337.5,7.9,162,2013
Acer,Liquid E2,LCD,Black| White,Android,Quad-core 1.2 GHz Cortex-A7,Accelerometer| gyro| proximity| compass,Yes,Yes,Yes,140,4,1,8,2000,180,88.2,4.5,245,2013
Acer,Liquid Z2,TFT,Black| Black/White,Android,1.0 GHz Cortex-A5,Accelerometer| proximity,Yes,Yes,Yes,110,4,0.512,3,1300,100,84.6,3.5,165,2013
Acer,Liquid C1,LCD,Black| White,Android,1.2 GHz,Accelerometer| proximity,Yes,Yes,Yes,140,4,1,8,2000,180,83.4,4.3,256,2013
Acer,Liquid E1,LCD,Black| White,Android,Dual-core 1.0 GHz Cortex-A9,Accelerometer| gyro| proximity| compass,Yes,Yes,Yes,130,4,1,5,1760,170,89.5,4.5,245,2013
Acer,Iconia Tab B1-710,TFT,White,Android,Dual-core 1.2 GHz Cortex-A9,Accelerometer,Yes,Yes,Yes,339.9,8,1,NA,2640,110,325.8,7,170,2013
Acer,Iconia Tab B1-A71,TFT,Black,Android,Dual-core 1.2 GHz Cortex-A9,Accelerometer,Yes,Yes,Yes,320,8,0.512,NA,2710,100,286.6,7,170,2013
Acer,Iconia Tab A110,TFT,Black/Silver,Android,Quad-core 1.2 GHz,Accelerometer| gyro| compass,Yes,Yes,Yes,390,8,1,2,3420,150,278.3,7,170,2012
Acer,Liquid Z110,TFT,Black| White,Android,1.0 GHz Cortex-A9,Accelerometer| proximity,Yes,Yes,Yes,100,4,0.512,3.15,1300,100,83.2,3.5,165,2012
Acer,Liquid Gallant E350,TFT,Gentle Black| Ceramic White,Android,1.0 GHz Cortex-A9,Accelerometer| proximity,Yes,Yes,Yes,145,4,1,5,1500,160,84.2,4.3,256,2012
Acer,Liquid Gallant Duo,TFT,Gentle Black| Ceramic White,Android,1.0 GHz Cortex-A9,Accelerometer| proximity,Yes,Yes,Yes,145,4,1,5,1500,140,84.2,4.3,256,2012
Acer,Liquid Glow E330,TFT,Black| White| Pink,Android,1.0 GHz Cortex-A5,Accelerometer| proximity| compass,Yes,Yes,Yes,125,1,0.512,5,1300,120,78.7,3.7,252,2012
Acer,CloudMobile S500,LCD,Black,Android,Dual-core 1.5 GHz Krait,Accelerometer| proximity| compass,Yes,Yes,Yes,NA,8,1,8,1460,220,82.7,4.3,342,2012
Acer,Allegro,TFT,Black| White,Windows,1.0 GHz Scorpion,Accelerometer| proximity| compass,Yes,Yes,Yes,126,8,NA,5,1300,140,89,3.6,259,2011
Acer,Liquid Express E320,TFT,Black,Android,800MHz ARM 11,Accelerometer| proximity,Yes,Yes,Yes,138,NA,0.512,5,NA,90,93.7,3.5,210,2011
Acer,Iconia Smart,TFT,Silver,Android,1.0 GHz Scorpion,Accelerometer| gyro| proximity,Yes,Yes,Yes,185,8,0.512,8,1500,220,124.3,4.8,236,2011
Acer,Iconia Tab A101,LCD,Black/Red| Black/Blue,Android,Dual-core 1.0 GHz Cortex-A9,Accelerometer| gyro| compass,Yes,Yes,Yes,470,8,1,5,1530,260,298.9,7,170,NA
Acer,Iconia Tab A100,LCD,Black/Red| Black/Blue,Android,Dual-core 1.0 GHz Cortex-A9,Accelerometer| gyro| compass,Yes,Yes,Yes,450,8,1,5,1530,100,298.9,7,170,2011
Acer,Liquid mini E310,TFT,blue| pink| silver| black| green| lagoon| cherry| pearl| steel,Android,600 MHz ARM 11,Accelerometer| proximity| compass,Yes,Yes,Yes,108,NA,0.512,5,1300,120,82.5,3.2,180,2011
Acer,beTouch E210,TFT,Black| White,Android,600 MHz ARM 11,Accelerometer| compass,Yes,Yes,Yes,109,NA,0.256,3.15,1300,150,87.7,2.6,154,2011
Acer,beTouch E140,TFT,Black,Android,600 MHz ARM 11,Accelerometer| compass,Yes,Yes,Yes,95,NA,0.256,3.15,1300,110,74.6,2.8,143,NA
Acer,beTouch T500,TFT,Black,Android,NA,Accelerometer,Yes,No,Yes,130,NA,0.256,3.15,1500,70,92.8,3.2,180,NA
Acer,Liquid mt,TFT,Silver,Android,800 MHz Scorpion,Accelerometer| proximity| compass,Yes,Yes,Yes,135,NA,0.512,5,1500,70,97.8,3.6,259,NA
Acer,beTouch E130,TFT,Black| White,Android,416 MHz,Accelerometer| compass,Yes,Yes,Yes,109,NA,0.256,3.15,1500,90,82.7,2.6,154,NA
Acer,beTouch E120,TFT,Black| White,Android,ST Ericsson PNX6715| 416 MHz,Accelerometer| compass,Yes,Yes,Yes,105,NA,0.256,3.15,1500,70,74.5,2.8,143,NA
Acer,Stream,AMOLED,Black,Android,1.0 GHz Scorpion,Accelerometer| proximity| compass,Yes,Yes,Yes,140,2,0.512,5,1400,130,84.3,3.7,252,NA
Acer,Liquid E,TFT,Black| White| Red| Ferrari edition,Android,768 MHz Scorpion,Accelerometer| proximity,Yes,Yes,Yes,135,NA,0.512,5,1350,90,89.8,3.5,267,NA
Acer,neoTouch P400,TFT,Black,Windows,600 MHz ARM 11,Accelerometer| compass,Yes,Yes,Yes,125,NA,0.256,3.15,1090,100,81.8,3.2,180,NA
Acer,beTouch E400,TFT,Soft-touch Black| Ceramic White and Pearl Red with 3 exchangeable battery covers,Android,600 MHz ARM 11,Accelerometer| compass,Yes,Yes,Yes,125,NA,0.256,3.15,1090,80,81.8,3.2,180,NA
Acer,neoTouch P300,TFT,Black,Windows,528 MHz ARM 11,Accelerometer,Yes,Yes,Yes,130.6,NA,0.256,3.15,970,80,91.4,3.2,146,NA
Acer,beTouch E110,TFT,Black| Dark Blue,Android,ST Ericsson PNX6715 416MHz,NA,Yes,Yes,Yes,105,NA,0.256,3.15,1500,70,74.9,2.8,143,NA
Acer,Liquid,TFT,Black| White| Red,Android,768 MHz Scorpion,Accelerometer| proximity,Yes,Yes,Yes,135,NA,0.256,5,1350,90,89.8,3.5,267,NA
Acer,neoTouch,TFT,Black,Windows,1.0 GHz Scorpion,Accelerometer| proximity,Yes,Yes,Yes,130,NA,0.256,5,1350,210,89.7,3.8,246,NA
Acer,beTouch E200,TFT,Black| White,Windows,528 MHz ARM 11,NA,Yes,No,Yes,146,NA,0.256,3.15,1140,190,90.6,3,155,NA
Acer,beTouch E100,TFT,Black,Windows,528 MHz ARM 11,NA,Yes,No,Yes,118,NA,0.256,2,1140,180,81,3.2,146,NA
Acer,beTouch E101,TFT,Black,Windows,528 MHz ARM 11,NA,Yes,No,Yes,118,NA,0.256,2,1140,170,81,3.2,146,NA
Acer,DX650,TFT,Black,Windows,Samsung S3C 6410 533 MHz,Accelerometer,Yes,No,Yes,133,NA,NA,2,1260,150,100.9,2.8,143,NA
Acer,M900,TFT,Black,Windows,533 MHz Samsung S3C 6410,Fingerprint (front-mounted),Yes,No,Yes,188,NA,NA,5,1530,250,126.2,3.8,246,NA
Acer,F900,TFT,Black,Windows,533 MHz Samsung S3C 6410,Accelerometer,Yes,No,Yes,150,NA,0.128,3.15,1530,210,117.9,3.8,246,NA
Acer,X960,TFT,Black,Windows,533 MHz Samsung S3C 6410,NA,Yes,No,Yes,131.5,NA,0.128,3.15,1530,270,86,2.8,286,NA
Acer,DX900,TFT,Black,Windows,533 MHz Samsung S3C 6410,Accelerometer,Yes,No,Yes,147,NA,0.128,3.15,1530,90,109,2.8,286,NA
alcatel,A5 LED,LCD,Gray,Android,Octa-core 1.3 GHz Cortex-A53,Fingerprint (front-mounted| region dependent)| accelerometer| proximity| compass,Yes,Yes,Yes,NA,16,2,8,2800,200,81.1,5.2,282,2017
alcatel,A3 XL,LCD,Sideral Gray/Silver|  White/Silver| White/Blue| White/Fuchsia| White/Yellow| Gold,Android,Quad-core 1.1 GHz Cortex-A53,Fingerprint (rear-mounted)| accelerometer| proximity,Yes,Yes,Yes,NA,16,2,8,3000,120,107.5,6,245,2017
alcatel,Shine Lite,LCD,Satin Gold| Pure White| Prime Black,Android,Quad-core 1.3 GHz Cortex-A53,Fingerprint (rear-mounted)| accelerometer| proximity| compass,Yes,Yes,Yes,156,16,2,13,2460,200,75.6,5,294,2016
alcatel,Fierce 4,LCD,Black,Android,Quad-core 1.1 GHz Cortex-A7,Accelerometer| proximity| compass,Yes,Yes,Yes,163.9,16,2,8,2500,80,94.1,5.5,267,2016
alcatel,X1,AMOLED,White| Black,Android,Octa-core (4x1.4 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Accelerometer| proximity| compass,Yes,Yes,Yes,140,16,2,13,2150,250,70.2,5,294,2016
alcatel,Pixi 4 (5),LCD,Black,Android,Quad-core 1.3 GHz,Accelerometer,Yes,Yes,Yes,148,8,1,8,2000,60,97.2,5,196,2016
alcatel,Flash Plus 2,LCD,Venus Gold| Luna Silver,Android,Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass,Yes,Yes,Yes,157,16,2,13,3000,140,95.6,5.5,401,2016
alcatel,POP 7 LTE,TFT,White,Android,Quad-core 1.1 GHz,NA,Yes,Yes,Yes,295.1,8,1,5,3240,130,198.5,7,170,2016
alcatel,Pop 4S,LCD,Various,Android,Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Fingerprint (front-mounted)| accelerometer| proximity/ gyro| compass (optional),Yes,Yes,Yes,NA,16,2,13,2960,150,92.5,5.5,401,2016
alcatel,Pop 4+,LCD,Various,Android,Quad-core 1.1 GHz Cortex-A7,Accelerometer| proximity| compass (optional),Yes,Yes,Yes,NA,16,1.5,8,2500,110,93,5.5,267,2016
alcatel,Pop 4,LCD,Various,Android,Quad-core 1.1 GHz Cortex-A7,Accelerometer| proximity| compass (optional),Yes,Yes,Yes,NA,8,1,8,2500,80,80.4,5,294,2016
alcatel,Idol 4s Windows,AMOLED,Halo Gold,Windows,Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),Accelerometer| gyro| proximity| compass,Yes,Yes,Yes,152,64,4,21,3000,440,81.2,5.5,401,2016
alcatel,Idol 4s,AMOLED,Gold| Dark Gray| Rose Gold| Metal Silver,Android,Octa-core (4x1.8 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53),Accelerometer| gyro| proximity| compass,Yes,Yes,Yes,149,32,3,16,3000,350,81.2,5.5,534,2016
alcatel,Idol 4,LCD,Gold| Dark Gray| Rose Gold| Metal Silver,Android,Octa-core (4x1.7 GHz Cortex-A53 & 4x1.2 GHz Cortex-A53),Accelerometer| gyro| proximity| compass,Yes,Yes,Yes,135,16,2,13,2610,250,75.7,5.2,424,2016
alcatel,Pixi 4 (7),TFT,Various,Android,Quad-core 1.3 GHz Cortex-A7,Accelerometer,Yes,Yes,Yes,NA,8,1,2,2580,80,187.3,7,170,2016
alcatel,Pixi 4 (6) 3G,LCD,Silver| Black| Gold,Android,Quad-core 1.3 GHz,Accelerometer| proximity,Yes,Yes,Yes,179,8,1,13,2580,120,116.5,6,184,2016
alcatel,Pixi 4 (6),LCD,Various,Android,Quad-core 1.1 GHz Cortex-A7,Accelerometer| proximity| compass (optional),Yes,Yes,Yes,NA,8,1,8,2580,100,114.8,6,245,2016
alcatel,Pixi 4 (4),TFT,Various,Android,Quad-core 1.3 GHz Cortex-A7,Accelerometer,Yes,Yes,Yes,NA,4,0.512,2,1500,60,75.8,4,233,2016
alcatel,Pop 3 (5.5),TFT,Black| White,Android,Quad-core 1.3/ 1.1 GHz,Accelerometer,Yes,Yes,Yes,174,8,1,5,2910,120,112.3,5.5,267,2016
alcatel,Pop 3 (5),TFT,Various,Android,Quad-core 1.3/ 1.1 GHz,Accelerometer,Yes,Yes,Yes,167,8,1,5,1800,110,99.8,5,196,2015
alcatel,Fierce XL,LCD,White,Android,Quad-core 1.1 GHz Cortex-A7,Accelerometer| proximity| compass,Yes,Yes,Yes,173,16,2,8,2500,130,112.3,5.5,267,2015
alcatel,Flash 2,LCD,Volcanic Grey| Mica White,Android,Octa-core 1.3 GHz Cortex-A53,Accelerometer| proximity,Yes,Yes,Yes,140,16,2,13,3000,230,92.4,5,294,2015
alcatel,Flash Plus,NA,Slate/Gold,Android,Octa-core 1.5 GHz Cortex-A53,Accelerometer| proximity| compass,Yes,Yes,Yes,147,16,2,13,3500,130,93.1,5.5,267,2015
alcatel,Pop Astro,TFT,White,Android,Quad-core 1.5 GHz Cortex-A53,Accelerometer| proximity| compass,Yes,Yes,Yes,144.9,4,1,5,2000,130,86.4,4.5,245,2015
alcatel,Idol 3 (5.5),LCD,Various,Android,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Accelerometer| proximity| compass,Yes,Yes,Yes,141,16,2,13,2910,250,84.9,5.5,401,2015
alcatel,Idol 3 (4.7),LCD,Various,Android,Quad-core 1.2 GHz Cortex-A53,Accelerometer| proximity| compass,Yes,Yes,Yes,110,8,1.5,13,2000,200,67.4,4.7,312,2015
alcatel,Pixi 3 (5.5) LTE,TFT,Volcano Black| White| Amber Orange| Tango Red| Neon Pink| Laser Yellow| Vivid Green| Sharp Blue| Metallic Silver,Android,Quad-core,Accelerometer| proximity| compass,Yes,Yes,Yes,NA,8,1,5,2800,120,NA,5.5,267,2015
alcatel,Pixi 3 (8) 3G,TFT,Yellow| Blue| Red| Black| White,Android,Dual-core 1.3 GHz Cortex-A7,Accelerometer,Yes,Yes,Yes,335,4,1,2,3240,100,238.4,8,189,2014
alcatel,Pixi 3 (7) LTE,TFT,Yellow| Blue| Red| Pink,Android,Quad-core 1.1 GHz Cortex-A7,Accelerometer,Yes,Yes,Yes,260,4,1,2,2820,130,191.5,7,170,2015
alcatel,Pixi 3 (7) 3G,TFT,Yellow| Blue| Red| Pink,Android,Dual-core 1.3 GHz Cortex-A7,Accelerometer,Yes,Yes,Yes,260,4,0.512,2,2820,100,190.9,7,170,2015
alcatel,Pixi 3 (7),TFT,Yellow| Blue| Red| Pink,Android,Quad-core 1.3 GHz Cortex-A7,Accelerometer,Yes,Yes,No,260,4,0.512,2,2820,80,190.9,7,170,2015
alcatel,Pixi 3 (5),TFT,Various,Android,Dual-core 1.3 GHz Cortex-A7 (3G model),Accelerometer,Yes,Yes,Yes,NA,4,0.512,5,1800,80,100.8,5,196,2015
alcatel,Pixi 3 (4.5),TFT,Various,Android,Dual-core 1.0 GHz Cortex-A7 (3G model),Accelerometer,Yes,Yes,Yes,125,4,0.512,5,1400,60,86.1,4.5,218,2015
alcatel,Pixi 3 (4),TFT,Various,Android,Dual-core 1.0 GHz Cortex-A7 (3G model),Accelerometer,Yes,Yes,Yes,110,4,0.512,2,1400,50,90.3,4,233,2015
alcatel,Pixi 3 (3.5) Firefox,TFT,Various,Firefox,Dual-core 1.0 GHz Cortex-A7,Accelerometer,Yes,Yes,Yes,98,NA,0.512,2,1300,40,82.8,3.5,165,2015
alcatel,Pop D3,TFT,Midnight Blue| Dark Chocolate| Dark Aubergine| White| Red| Yellow| Orange| Green| Purple,Android,Dual-core 1.3 GHz,Accelerometer| proximity,Yes,Yes,Yes,114,4,0.512,5,1400,130,94.8,4,233,2014
alcatel,Pop D1,TFT,Midnight Blue| Dark Chocolate| Dark Aubergine| White| Red| Yellow| Orange| Green| Purple,Android,Dual-core 1.0 GHz,Accelerometer| proximity,Yes,Yes,Yes,101,4,0.512,2,1300,80,83.5,3.5,165,2014
alcatel,Pop Icon,LCD,Various,Android,Quad-core 1.2 GHz,Accelerometer| proximity| compass,Yes,Yes,Yes,149,4,1,5,2000,120,100.6,5,220,2014
alcatel,Fire C 2G,TFT,Bluish Black| Dark Chocolate,Firefox,1.0 GHz,Accelerometer,Yes,Yes,No,93,NA,0.128,1.3,1000,30,83.5,3.5,165,2014
alcatel,Pop 2 (4.5) Dual SIM,TFT,Lemon Yellow| Lavender| Jade Green| Cozy Red| Aqua Blue| White| Platinum Silver| Ash Gray| Volcano Black,Android,Quad-core 1.2 GHz Cortex-A53,Accelerometer| gyro| proximity| compass,Yes,Yes,Yes,147,8,1,5,2000,180,85.8,4.5,218,2014
alcatel,Pop 2 (4.5),TFT,Lemon Yellow| Lavender| Jade Green| Cozy Red| Aqua Blue| White| Platinum Silver| Ash Gray| Volcano Black,Android,Quad-core 1.2 GHz Cortex-A53,Accelerometer| gyro| proximity| compass,Yes,Yes,Yes,147,8,1,5,2000,130,86.7,4.5,218,2014
alcatel,Fierce 2,NA,Black,Android,Quad-core 1.2 GHz,Accelerometer| proximity,Yes,Yes,Yes,149.1,4,1,5,NA,90,100.4,5,220,2014
alcatel,Evolve 2,NA,Black,Android,Dual-core 1.3 GHz,Accelerometer| proximity,Yes,Yes,Yes,121.1,4,0.512,5,1400,60,91.8,4,233,2014
alcatel,POP 8S,LCD,White| Black/ color back panels,Android,Quad-core 1.2 GHz Cortex-A53,Accelerometer,Yes,Yes,Yes,327,8,1,5,4100,250,192.6,8,189,2014
alcatel,Hero 8,LCD,Dark Gray,Android,Octa-core 2.0 GHz Cortex-A7,Accelerometer| gyro| proximity| compass,Yes,Yes,Yes,310,8,2,5,4060,280,186.1,8,283,2014
alcatel,Hero 2,LCD,Dark Gray,Android,Octa-core 2.0 GHz Cortex-A7,Accelerometer| gyro| proximity| compass,Yes,Yes,Yes,175,16,2,13.1,3100,460,103.5,6,367,2014
alcatel,Pixi 2,TFT,Full White| Bluish Black,Android,Dual-core 1.0 GHz,Accelerometer,Yes,Yes,Yes,100,4,0.512,2,1300,80,83.7,3.5,165,2014
alcatel,Pop D5,TFT,Black/White| Platinum Silver| Ash Gray| Volcano Black,Android,Quad-core 1.3 GHz,Accelerometer,Yes,Yes,Yes,150,4,0.512,5,1800,100,90,4.5,218,2014
alcatel,Pop C2,TFT,Bluish Black| Pure White,Android,Dual-core 1.3 GHz,Accelerometer,Yes,Yes,Yes,116,4,0.512,3.15,1300,40,94.3,4,233,2014
alcatel,Pixi 8,TFT,Bluish Black| Chocolate| Aubergine,Android,NA,NA,Yes,Yes,Yes,325,8,1,NA,3240,100,234.2,8,189,2014
alcatel,2012,TFT,Dark Chocolate,Other,NA,NA,Yes,Yes,No,98,NA,NA,3.15,750,50,80.4,2.8,143,2014
alcatel,POP 7S,LCD,White| Black/ color back panels,Android,Quad-core 1.2 GHz Cortex-A7,NA,Yes,Yes,Yes,279,4,1,3,3240,190,195.3,7,170,2014
alcatel,Pixi 7,TFT,Bluish Black| Gun Gray/ Color Skins,Android,Dual-core 1.2 GHz,NA,Yes,Yes,No,285,4,0.512,NA,2840,80,NA,7,157,2014
alcatel,Pop S9,LCD,Midnight Blue| Dark Chocolate| Dark Aubergine| White/ purple| green| red| orange| yellow back panels,Android,Quad-core 1.2 GHz,Accelerometer| proximity| compass,Yes,Yes,Yes,182,8,1,8,3400,280,117.9,5.9,249,2014
alcatel,Pop S7,LCD,Midnight Blue| Dark Chocolate| Dark Aubergine| White/ purple| green| red| orange| yellow back panels,Android,Quad-core 1.3 GHz,Accelerometer| proximity| compass,Yes,Yes,Yes,162,4,1,5,3000,140,95.4,5,220,2014
alcatel,Pop S3,TFT,Midnight Blue| Dark  Chocolate| Dark Aubergine| White| Red|  Orange| Yellow| Green| Purple,Android,Quad-core 1.2 GHz,Accelerometer| proximity| compass,Yes,Yes,Yes,130,4,1,5,2000,120,78.4,4,233,2014
alcatel,Fire 7,NA,Black,Firefox,Dual-core 1.2 GHz,Accelerometer,Yes,Yes,NA,285,NA,NA,NA,NA,80,NA,7,157,2014
alcatel,Fire E,LCD,Slate| Dark Chocolate| Mozilla Orange,Firefox,Dual-core 1.2 GHz,Accelerometer| proximity| compass,Yes,Yes,Yes,103,4,0.512,5,1700,70,67.2,4.5,245,2014
alcatel,Fire C,TFT,Mozilla Orange| White/Bluish Black| White,Firefox,Dual-core 1.2 GHz,Accelerometer| proximity,Yes,Yes,Yes,100,4,0.512,NA,1300,30,83.5,3.5,165,2014
