date,year,month,day,flights
2013-08-08,2013,8,8,1001
2013-08-09,2013,8,9,999
2013-08-10,2013,8,10,807
2013-08-11,2013,8,11,929
2013-08-12,2013,8,12,1001
2013-08-13,2013,8,13,995
2013-08-14,2013,8,14,997
2013-08-15,2013,8,15,1000
2013-08-16,2013,8,16,998
2013-08-17,2013,8,17,780
2013-08-18,2013,8,18,914
2013-08-19,2013,8,19,996
2013-08-20,2013,8,20,986
2013-08-21,2013,8,21,990
2013-08-22,2013,8,22,990
2013-08-23,2013,8,23,989
2013-08-24,2013,8,24,774
2013-08-25,2013,8,25,903
2013-08-26,2013,8,26,982
2013-08-27,2013,8,27,965
2013-08-28,2013,8,28,973
2013-08-29,2013,8,29,979
2013-08-30,2013,8,30,965
2013-08-31,2013,8,31,680
2013-09-01,2013,9,1,718
2013-09-02,2013,9,2,929
2013-09-03,2013,9,3,956
2013-09-04,2013,9,4,948
2013-09-05,2013,9,5,969
2013-09-06,2013,9,6,967
2013-09-07,2013,9,7,688
2013-09-08,2013,9,8,908
2013-09-09,2013,9,9,991
2013-09-10,2013,9,10,961
2013-09-11,2013,9,11,947
2013-09-12,2013,9,12,992
2013-09-13,2013,9,13,996
2013-09-14,2013,9,14,686
2013-09-15,2013,9,15,900
2013-09-16,2013,9,16,992
2013-09-17,2013,9,17,961
2013-09-18,2013,9,18,972
2013-09-19,2013,9,19,992
2013-09-20,2013,9,20,994
2013-09-21,2013,9,21,693
2013-09-22,2013,9,22,904
2013-09-23,2013,9,23,993
2013-09-24,2013,9,24,960
2013-09-25,2013,9,25,976
2013-09-26,2013,9,26,996
2013-09-27,2013,9,27,996
2013-09-28,2013,9,28,682
2013-09-29,2013,9,29,914
2013-09-30,2013,9,30,993
2013-10-01,2013,10,1,965
2013-10-02,2013,10,2,975
2013-10-03,2013,10,3,995
2013-10-04,2013,10,4,995
2013-10-05,2013,10,5,687
2013-10-06,2013,10,6,917
2013-10-07,2013,10,7,994
2013-10-08,2013,10,8,964
2013-10-09,2013,10,9,974
2013-10-10,2013,10,10,994
2013-10-11,2013,10,11,991
2013-10-12,2013,10,12,676
2013-10-13,2013,10,13,902
2013-10-14,2013,10,14,987
2013-10-15,2013,10,15,963
2013-10-16,2013,10,16,974
2013-10-17,2013,10,17,995
2013-10-18,2013,10,18,993
2013-10-19,2013,10,19,684
2013-10-20,2013,10,20,915
2013-10-21,2013,10,21,991
2013-10-22,2013,10,22,964
2013-10-23,2013,10,23,975
2013-10-24,2013,10,24,992
2013-10-25,2013,10,25,989
2013-10-26,2013,10,26,685
2013-10-27,2013,10,27,910
2013-10-28,2013,10,28,983
2013-10-29,2013,10,29,965
2013-10-30,2013,10,30,973
2013-10-31,2013,10,31,922
2013-11-01,2013,11,1,986
2013-11-02,2013,11,2,689
2013-11-03,2013,11,3,902
2013-11-04,2013,11,4,978
2013-11-05,2013,11,5,967
2013-11-06,2013,11,6,973
2013-11-07,2013,11,7,991
2013-11-08,2013,11,8,986
2013-11-09,2013,11,9,715
2013-11-10,2013,11,10,895
2013-11-11,2013,11,11,983
2013-11-12,2013,11,12,973
2013-11-13,2013,11,13,976
2013-11-14,2013,11,14,988
2013-11-15,2013,11,15,985
2013-11-16,2013,11,16,714
2013-11-17,2013,11,17,896
2013-11-18,2013,11,18,985
2013-11-19,2013,11,19,973
2013-11-20,2013,11,20,977
2013-11-21,2013,11,21,1000
2013-11-22,2013,11,22,999
2013-11-23,2013,11,23,744
2013-11-24,2013,11,24,896
2013-11-25,2013,11,25,942
2013-11-26,2013,11,26,989
2013-11-27,2013,11,27,1014
2013-11-28,2013,11,28,634
2013-11-29,2013,11,29,661
2013-11-30,2013,11,30,857
2013-12-01,2013,12,1,987
2013-12-02,2013,12,2,1004
2013-12-03,2013,12,3,973
2013-12-04,2013,12,4,958
2013-12-05,2013,12,5,969
2013-12-06,2013,12,6,970
2013-12-07,2013,12,7,691
2013-12-08,2013,12,8,875
2013-12-09,2013,12,9,962
2013-12-10,2013,12,10,943
2013-12-11,2013,12,11,954
2013-12-12,2013,12,12,968
2013-12-13,2013,12,13,970
2013-12-14,2013,12,14,692
2013-12-15,2013,12,15,880
2013-12-16,2013,12,16,964
2013-12-17,2013,12,17,949
2013-12-18,2013,12,18,956
2013-12-19,2013,12,19,974
2013-12-20,2013,12,20,980
2013-12-21,2013,12,21,811
2013-12-22,2013,12,22,895
2013-12-23,2013,12,23,985
2013-12-24,2013,12,24,761
2013-12-25,2013,12,25,719
2013-12-26,2013,12,26,936
2013-12-27,2013,12,27,963
2013-12-28,2013,12,28,814
2013-12-29,2013,12,29,888
2013-12-30,2013,12,30,968
2013-12-31,2013,12,31,776
